week,region,country,admin1,event_type,sub_event_type,events,fatalities,population_exposure,disorder_type,id,latitude,longitude
2009-04-04,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,2,NA,Political violence,705,3.665,25.3771
2009-07-11,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,26,NA,Political violence,705,3.665,25.3771
2011-09-10,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,16,NA,Political violence,705,3.665,25.3771
2014-08-09,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,2,NA,Political violence,705,3.665,25.3771
2015-10-31,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,2,3,70256,Political violence,705,3.665,25.3771
2016-03-26,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,1,72950,Political violence,705,3.665,25.3771
2017-06-17,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,2,2,10040,Political violence,705,3.665,25.3771
2017-07-15,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,1,64,Political violence,705,3.665,25.3771
2018-08-25,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,2,8790,Political violence,705,3.665,25.3771
2019-10-05,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,5,1925,Political violence,705,3.665,25.3771
2020-05-09,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,2,2,6,Political violence,705,3.665,25.3771
2020-07-18,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,1,65,Political violence,705,3.665,25.3771
2020-08-29,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,4,9595,Political violence,705,3.665,25.3771
2022-01-15,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,1,291,Political violence,705,3.665,25.3771
2022-07-02,Middle Africa,Democratic Republic of Congo,Bas-Uele,Battles,Armed clash,1,1,NA,Political violence,705,3.665,25.3771
2014-06-28,Middle Africa,Democratic Republic of Congo,Bas-Uele,Riots,Mob violence,1,1,NA,Political violence,705,3.665,25.3771
2015-03-21,Middle Africa,Democratic Republic of Congo,Bas-Uele,Riots,Mob violence,1,5,52279,Political violence,705,3.665,25.3771
2022-05-07,Middle Africa,Democratic Republic of Congo,Bas-Uele,Riots,Mob violence,1,2,3264,Political violence,705,3.665,25.3771
2011-04-30,Middle Africa,Democratic Republic of Congo,Bas-Uele,Riots,Violent demonstration,1,1,NA,Demonstrations,705,3.665,25.3771
2018-02-17,Middle Africa,Democratic Republic of Congo,Bas-Uele,Riots,Violent demonstration,1,1,28905,Demonstrations,705,3.665,25.3771
2009-01-03,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,30,NA,Political violence,705,3.665,25.3771
2009-04-04,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,10,NA,Political violence,705,3.665,25.3771
2009-05-30,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,8,34,NA,Political violence,705,3.665,25.3771
2009-06-06,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,1,NA,Political violence,705,3.665,25.3771
2009-06-13,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,2,NA,Political violence,705,3.665,25.3771
2009-06-20,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,6,NA,Political violence,705,3.665,25.3771
2009-07-04,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,2,5,NA,Political violence,705,3.665,25.3771
2009-07-11,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,3,65,NA,Political violence,705,3.665,25.3771
2009-08-08,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,1,NA,Political violence,705,3.665,25.3771
2009-08-29,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,2,NA,Political violence,705,3.665,25.3771
2009-09-12,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,1,NA,Political violence,705,3.665,25.3771
2009-09-19,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,2,NA,Political violence,705,3.665,25.3771
2009-09-26,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,1,NA,Political violence,705,3.665,25.3771
2009-10-31,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,2,NA,Political violence,705,3.665,25.3771
2009-11-14,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,6,NA,Political violence,705,3.665,25.3771
2009-12-19,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,2,38,NA,Political violence,705,3.665,25.3771
2010-01-09,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,2,7,NA,Political violence,705,3.665,25.3771
2010-01-16,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,10,NA,Political violence,705,3.665,25.3771
2010-01-30,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,3,15,NA,Political violence,705,3.665,25.3771
2010-02-06,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,7,37,NA,Political violence,705,3.665,25.3771
2010-02-13,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,1,6,NA,Political violence,705,3.665,25.3771
2010-02-20,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,2,102,NA,Political violence,705,3.665,25.3771
2010-02-27,Middle Africa,Democratic Republic of Congo,Bas-Uele,Violence against civilians,Attack,2,6,NA,Political violence,705,3.665,25.3771
