week,region,country,admin1,event_type,sub_event_type,events,fatalities,population_exposure,disorder_type,id,latitude,longitude
1997-01-04T00:00:00Z,Northern Africa,Sudan,Khartoum,violence against civilians,Attack,1,7,NA,Political violence,3111,15.915,33.1352
1997-01-11T00:00:00Z,Northern Africa,Sudan,Blue Nile,battles,Government regains territory,1,200,NA,Political violence,3106,11.0079,34.0954
1997-01-11T00:00:00Z,Northern Africa,Sudan,Blue Nile,violence against civilians,Attack,4,300,NA,Political violence,3106,11.0079,34.0954
1997-01-11T00:00:00Z,Northern Africa,Sudan,Kassala,battles,Armed clash,2,207,NA,Political violence,3110,15.7104,35.5356
1997-01-11T00:00:00Z,Northern Africa,Sudan,Kassala,battles,Non-state actor overtakes territory,1,25,NA,Political violence,3110,15.7104,35.5356
1997-01-18T00:00:00Z,Northern Africa,Sudan,Blue Nile,battles,Armed clash,6,463,NA,Political violence,3106,11.0079,34.0954
1997-01-18T00:00:00Z,Northern Africa,Sudan,Equatoria,battles,Armed clash,1,13,NA,Political violence,3947,4.68,31.69
1997-01-18T00:00:00Z,Northern Africa,Sudan,Red Sea,battles,Armed clash,1,1,NA,Political violence,3115,20.0739,35.4126
1997-01-18T00:00:00Z,Northern Africa,Sudan,Sennar,battles,Armed clash,2,316,NA,Political violence,3117,12.9093,34.0815
1997-01-25T00:00:00Z,Northern Africa,Sudan,Blue Nile,battles,Armed clash,3,317,NA,Political violence,3106,11.0079,34.0954
1997-01-25T00:00:00Z,Northern Africa,Sudan,Equatoria,battles,Government regains territory,1,11,NA,Political violence,3947,4.68,31.69
1997-02-15T00:00:00Z,Northern Africa,Sudan,Blue Nile,battles,Armed clash,3,57,NA,Political violence,3106,11.0079,34.0954
1997-02-15T00:00:00Z,Northern Africa,Sudan,Upper Nile,battles,Armed clash,1,19,NA,Political violence,4169,11.048,32.698
1997-02-22T00:00:00Z,Northern Africa,Sudan,Equatoria,battles,Government regains territory,1,10,NA,Political violence,3947,4.68,31.69
1997-03-01T00:00:00Z,Northern Africa,Sudan,South Kordofan,battles,Armed clash,1,8,NA,Political violence,3119,11.2289,30.914
1997-03-08T00:00:00Z,Northern Africa,Sudan,Equatoria,battles,Armed clash,8,4,NA,Political violence,3947,4.68,31.69
1997-03-08T00:00:00Z,Northern Africa,Sudan,Equatoria,battles,Non-state actor overtakes territory,7,11,NA,Political violence,3947,4.68,31.69
1997-03-08T00:00:00Z,Northern Africa,Sudan,Equatoria,explosions/remote violence,Remote explosive/landmine/IED,2,1,NA,Political violence,3947,4.68,31.69
1997-03-08T00:00:00Z,Northern Africa,Sudan,Kassala,battles,Armed clash,1,97,NA,Political violence,3110,15.7104,35.5356
1997-03-15T00:00:00Z,Northern Africa,Sudan,Blue Nile,battles,Non-state actor overtakes territory,1,3,NA,Political violence,3106,11.0079,34.0954
1997-03-15T00:00:00Z,Northern Africa,Sudan,Equatoria,battles,Armed clash,4,3,NA,Political violence,3947,4.68,31.69
1997-03-22T00:00:00Z,Northern Africa,Sudan,Al Jazirah,battles,Armed clash,3,100,NA,Political violence,3105,14.6593,33.2294
1997-03-22T00:00:00Z,Northern Africa,Sudan,Red Sea,battles,Non-state actor overtakes territory,3,220,NA,Political violence,3115,20.0739,35.4126
1997-03-29T00:00:00Z,Northern Africa,Sudan,Equatoria,battles,Non-state actor overtakes territory,5,10,NA,Political violence,3947,4.68,31.69
1997-03-29T00:00:00Z,Northern Africa,Sudan,Upper Nile,battles,Armed clash,1,70,NA,Political violence,4169,11.048,32.698
1997-04-05T00:00:00Z,Northern Africa,Sudan,Kassala,battles,Armed clash,2,20,NA,Political violence,3110,15.7104,35.5356
1997-04-05T00:00:00Z,Northern Africa,Sudan,Red Sea,battles,Armed clash,3,20,NA,Political violence,3115,20.0739,35.4126
